ID_Alat,Nama_Alat,SN,Ruangan,Stiker_Label,Lembar_SOP,Stiker_Kalibrasi,Kondisi
1,USG,LP7U40001025,Radiologi,Ada,Ada,Ada,Baik
2,USG,212913,Radiologi,Ada,Ada,Ada,Baik
3,X-Ray Panoramic,33801,Radiologi,Ada,Tidak,Ada,Baik
4,Mammography,5753-97,Radiologi,Ada,Tidak,Ada,Baik
5,X-Ray Filmillustrsator,-,Radiologi,Tidak,Tidak,Tidak,Baik
6,X-Ray Panoramic,M2004015,Radiologi,Tidak,Tidak,Ada,Baik
7, X-Ray Mobile,-,Radiologi,Tidak,Tidak,Tidak,Baik
8,X-Ray Panoramic,-,Radiologi,Tidak,Tidak,Tidak,Rusak
9,Dental X-Ray ,E01303,Radiologi,Ada,Ada,Ada,Rusak
10,X-Ray Panoramic,3345233,Radiologi,Ada,Tidak,Ada,Rusak
11,X-Ray Panoramic,17755,Radiologi,Tidak,Tidak,Tidak,Rusak
12,X-Ray Mobile,2156,Radiologi,Tidak,Ada,Tidak,Rusak
13,Dental Unit,200411201,Radiologi,Ada,Tidak,Tidak,Rusak
14,USG,100502008527,Radiologi,Tidak,Tidak,Tidak,Rusak
15,X-Ray Mobile,-,Radiologi,Tidak,Tidak,Tidak,Rusak
16,Suction Pump,412338,Radiologi,Tidak,Tidak,Tidak,Rusak
17,X-Ray Panoramic,-,Radiologi,Tidak,Tidak,Tidak,Rusak
18,Laser Imager,59539459,Radiologi,Tidak,Tidak,Tidak,Rusak
19,Laser Imager,59538160,Radiologi,Tidak,Tidak,Tidak,Rusak
20,X-Ray Filmillustrator,-,Radiologi,Tidak,Tidak,Tidak,Rusak
21,X-Ray Filmillustrator,-,Radiologi,Tidak,Tidak,Tidak,Rusak
22,Timbangan dan pengukur tinggi badan,2,IDT,Ada,Tidak,Ada,Baik
23,Tensimeter Manual,3670206,IDT,Ada,Tidak,Ada,Baik
24,Stetoskop,-,IDT,Tidak,Tidak,Tidak,Baik
25,Stetoskop,-,IDT,Tidak,Tidak,Tidak,Baik
26,Tensimeter Digital,BPM0011BD266A,IDT,Ada,Tidak,Ada,Baik
27,Bed Pasien,AZ2023W30068,IDT,Tidak,Tidak,Tidak,Baik
28,Bed Pasien,AZ2023W30029,IDT,Tidak,Tidak,Tidak,Baik
29,Bed Pasien,10241160197036,IDT,Tidak,Tidak,Tidak,Baik
30,Bed Pasien,2108622110000042,IDT,Tidak,Tidak,Tidak,Baik
31,Bed Pasien,2108622110000142,IDT,Tidak,Tidak,Tidak,Baik
32,Tensimeter Digital,34010196,IDT,Ada,Tidak,Ada,Baik
33,Bed Pasien,-,IDT,Tidak,Tidak,Tidak,Baik
34,Bed Pasien,-,IDT,Tidak,Tidak,Tidak,Baik
35,Syringe Pump,1507000207,ICCU,Ada,Tidak,Ada,Baik
36,Syringe Pump,1507000204,ICCU,Ada,Tidak,Ada,Baik
37,Syringe Pump,SK10806960,ICCU,Ada,Tidak,Ada,Baik
38,Syringe Pump,15070000202,ICCU,Ada,Tidak,Ada,Baik
39,Syringe Pump,15410806982,ICCU,Tidak,Tidak,Ada,Baik
40,Syringe Pump,15100100450,ICCU,Ada,Tidak,Ada,Baik
41,EKG,W19000580030,ICCU,Ada,Tidak,Ada,Baik
42,Trolley,-,ICCU,Ada,Tidak,Ada,Baik
43,Trolley,-,ICCU,Ada,Tidak,Ada,Baik
44,Bedside Kabinet,-,ICCU,Ada,Tidak,Ada,Baik
45,Bedside Kabinet,-,ICCU,Ada,Tidak,Ada,Baik
46,Bedside Kabinet,-,ICCU,Ada,Tidak,Ada,Baik
47,Bedside Kabinet,-,ICCU,Ada,Tidak,Ada,Baik
48,Nebulizer,UN0120SAC317,ICCU,Ada,Tidak,Ada,Baik
49,Oxygen Mobile,-,ICCU,Ada,Tidak,Ada,Baik
50,Lampu Sorot,-,ICCU,Ada,Tidak,Ada,Baik
51,Tiang Infus,-,ICCU,Ada,Tidak,Ada,Baik
52,Tiang Infus,-,ICCU,Ada,Tidak,Ada,Baik
53,Tiang Infus,-,ICCU,Ada,Tidak,Ada,Baik
54,Tiang Infus,-,ICCU,Ada,Tidak,Ada,Baik
55,Tiang Infus,-,ICCU,Ada,Tidak,Ada,Baik
56,Suction Portable,21F0009895,ICCU,Ada,Tidak,Ada,Baik
57,Kursi Roda,-,ICCU,Ada,Tidak,Ada,Baik
58,Infusion Pump,901201200411704,ICCU,Ada,Tidak,Ada,Baik
59,Infusion Pump,SK10805893,ICCU,Ada,Tidak,Ada,Baik
60,Infusion Pump,SK10805084,ICCU,Tidak,Tidak,Tidak,Baik
61,Suction Central,-,ICCU,Ada,Tidak,Ada,Baik
62,Suction Central,-,ICCU,Ada,Tidak,Ada,Baik
63,Suction Central,-,ICCU,Ada,Tidak,Ada,Baik
64,Suction Central,-,ICCU,Ada,Tidak,Ada,Baik
65,Flowmeter,-,ICCU,Ada,Tidak,Ada,Baik
66,Flowmeter,-,ICCU,Ada,Tidak,Ada,Baik
67,Flowmeter,-,ICCU,Ada,Tidak,Ada,Baik
68,Flowmeter,-,ICCU,Ada,Tidak,Ada,Baik
69,Ventilator,50059,ICCU,Ada,Tidak,Ada,Baik
70,Lampu Baca,-,ICCU,Ada,Tidak,Ada,Baik
71,DC Shock,D6-6B015813,ICCU,Ada,Tidak,Ada,Baik
72,Bedside Monitor,622501101,ICCU,Ada,Tidak,Ada,Baik
73,Trolley Obat,-,ICCU,Ada,Tidak,Ada,Baik
74,Bedside Monitor,SNB90400017H1,ICCU,Ada,Tidak,Ada,Baik
75,Bedside Monitor,5036208033,ICCU,Tidak,Tidak,Ada,Baik
76,Bedside Monitor,SK3633022H4,ICCU,Ada,Tidak,Ada,Baik
77,Bed Side Monitor,4351202300014,PICU,Ada,Tidak,Ada,Baik
78,Bed Side Monitor,4351210230009,PICU,Ada,Tidak,Ada,Baik
79,Bed Side Monitor,5351210230015,PICU,Ada,Tidak,Ada,Baik
80,Bed Side Monitor,4351202300013,PICU,Ada,Tidak,Ada,Baik
81,Baby Incubator Transport ,BIT002NC,PICU,Ada,Tidak,Ada,Baik
82,Infont Ventilator,173030,PICU,Ada,Tidak,Ada,Baik
83,Infont Ventilator,15661,PICU,Ada,Tidak,Ada,Baik
84,Laryngscope,70830215,PICU,Ada,Tidak,Tidak,Baik
85,Infuse Pump,216211222099,PICU,Ada,Tidak,Ada,Baik
86,Infuse Pump,216211222011,PICU,Ada,Tidak,Ada,Baik
87,Infuse Pump,-,PICU,Ada,Tidak,Ada,Baik
88,Infuse Pump,2162112220070,PICU,Ada,Tidak,Ada,Baik
89,Suction Central,5030774,PICU,Tidak,Tidak,Ada,Baik
90,Suction Central,5031124,PICU,Ada,Tidak,Ada,Baik
91,Suction Central,5030450,PICU,Ada,Tidak,Ada,Baik
92,Suction Central,503,PICU,Tidak,Tidak,Tidak,Baik
93,Syringe Pump,02180808009230018,PICU,Ada,Tidak,Ada,Baik
94,Syringe Pump,24060409230001,PICU,Ada,Tidak,Ada,Baik
95,Syringe Pump,24060409230004,PICU,Ada,Tidak,Ada,Baik
96,Syringe Pump,2060409230005,PICU,Ada,Ada,Ada,Baik
97,Ventilator Transport,AY216046626,PICU,Ada,Tidak,Ada,Baik
98,Trolley Emergency + Timbangan Bayi,-,PICU,Ada,Tidak,Ada,Baik
99,Trolley Emergency ,-,PICU,Ada,Tidak,Ada,Baik
100,Trolley Instrument,-,PICU,Ada,Tidak,Ada,Baik
101,Timbangan + Tinggi Badan ,-,PICU,Ada,Tidak,Ada,Baik
102,Ambubag Anak,-,PICU,Ada,Tidak,Ada,Baik
103,Stetoscope,-,PICU,Ada,Tidak,Ada,Baik
104,Nebulizer,202406022136VF,PICU,Tidak,Tidak,Tidak,Baik
